Player,Position,Team,Pass_Yds,Pass_TD,Int,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Games_Pass_300,Games_Pass_400,Games_Comb_100,Games_Comb_200,Pass_40p,Rush_40p,Rec_20p
Sam Darnold,QB,SEA,3676,26,0,157,2,0,0,0,1,0,0,0,5,0,0
Tyler Shough,QB,NO,3525,21,0,330,3,0,0,0,1,0,0,0,5,0,0
Malik Willis,QB,MIA,2712,16,0,633,5,0,0,0,1,0,0,0,4,0,0
C.J. Stroud,QB,HOU,3405,20,0,220,2,0,0,0,1,0,0,0,4,0,0
Daniel Jones,QB,IND,3388,20,0,190,2,0,0,0,1,0,0,0,4,0,0
Cam Ward,QB,TEN,3516,19,0,182,2,0,0,0,1,0,0,0,3,0,0
Bryce Young,QB,CAR,3079,20,0,251,2,0,0,0,1,0,0,0,3,0,0
Geno Smith,QB,NYJ,3372,22,0,156,1,0,0,0,1,0,0,0,3,0,0
Fernando Mendoza,QB,LV,2894,19,0,234,2,0,0,0,1,0,0,0,3,0,0
Aaron Rodgers,QB,PIT,2700,18,0,60,0,0,0,0,1,0,0,0,3,0,0
Jacoby Brissett,QB,ARI,2400,15,0,110,1,0,0,0,1,0,0,0,3,0,0
Tua Tagovailoa,QB,ATL,2141,14,0,43,0,0,0,0,1,0,0,0,3,0,0
Michael Penix Jr.,QB,ATL,1567,10,0,67,1,0,0,0,0,0,0,0,3,0,0
Deshaun Watson,QB,CLE,1374,8,0,131,2,0,0,0,0,0,0,0,3,0,0
Shedeur Sanders,QB,CLE,1433,7,0,88,2,0,0,0,0,0,0,0,2,0,0
Carson Beck,QB,ARI,778,5,0,38,1,0,0,0,0,0,0,0,2,0,0
Kirk Cousins,QB,LV,639,5,0,6,0,0,0,0,0,0,0,0,2,0,0
Anthony Richardson Sr.,QB,IND,386,2,0,91,1,0,0,0,0,0,0,0,2,0,0
Justin Fields,QB,KC,363,2,0,102,1,0,0,0,0,0,0,0,2,0,0
T. Green,QB,CLE,335,2,0,69,1,0,0,0,0,0,0,0,2,0,0
J. Flacco,QB,CIN,448,3,0,8,0,0,0,0,0,0,0,0,2,0,0
G. Minshew,QB,ARI,394,3,0,22,0,0,0,0,0,0,0,0,0,0,0
D. Carr,QB,,447,3,0,13,0,0,0,0,0,0,0,0,0,0,0
Mac Jones,QB,SF,423,3,0,18,0,0,0,0,0,0,0,0,0,0,0
C. Klubnik,QB,NYJ,400,2,0,20,0,0,0,0,0,0,0,0,0,0,0
Puka Nacua,WR,LAR,0,0,0,55,0,107,1400,10,0,0,5,1,0,0,25
Ja'Marr Chase,WR,CIN,0,0,0,16,0,109,1345,10,0,0,3,1,0,0,24
Jaxon Smith-Njigba,WR,SEA,0,0,0,33,0,99,1343,8,0,0,3,1,0,0,23
Amon-Ra St. Brown,WR,DET,0,0,0,16,0,106,1249,8,0,0,2,1,0,0,22
CeeDee Lamb,WR,DAL,0,0,0,16,0,96,1249,8,0,0,2,0,0,0,18
Justin Jefferson,WR,MIN,0,0,0,6,0,88,1155,7,0,0,1,0,0,0,18
Nico Collins,WR,HOU,0,0,0,16,0,76,1144,7,0,0,1,0,0,0,17
George Pickens,WR,DAL,0,0,0,6,0,76,1153,7,0,0,1,0,0,0,16
Drake London,WR,ATL,0,0,0,6,0,86,1101,7,0,0,1,0,0,0,16
A.J. Brown,WR,NE,0,0,0,6,0,76,1132,7,0,0,1,0,0,0,16
Chris Olave,WR,NO,0,0,0,6,0,80,1072,7,0,0,1,0,0,0,16
Malik Nabers,WR,NYG,0,0,0,16,0,82,1050,7,0,0,1,0,0,0,16
Garrett Wilson,WR,NYJ,0,0,0,16,0,86,1075,6,0,0,1,0,0,0,15
Zay Flowers,WR,BAL,0,0,0,29,0,80,1083,6,0,0,1,0,0,0,14
DeVonta Smith,WR,PHI,0,0,0,6,0,78,1035,6,0,0,1,0,0,0,14
Tetairoa McMillan,WR,CAR,0,0,0,6,0,74,1033,6,0,0,1,0,0,0,14
Jameson Williams,WR,DET,0,0,0,44,0,60,998,7,0,0,1,0,0,0,14
Tee Higgins,WR,CIN,0,0,0,6,0,68,960,7,0,0,1,0,0,0,13
Mike Evans,WR,SF,0,0,0,0,0,66,900,8,0,0,1,0,0,0,13
Ladd McConkey,WR,LAC,0,0,0,11,0,77,962,6,0,0,1,0,0,0,13
Luther Burden III,WR,CHI,0,0,0,61,0,72,886,6,0,0,0,0,0,0,13
Terry McLaurin,WR,WAS,0,0,0,6,0,68,950,6,0,0,0,0,0,0,13
Emeka Egbuka,WR,TB,0,0,0,19,0,68,917,6,0,0,0,0,0,0,12
Rashee Rice,WR,KC,0,0,0,26,0,77,849,6,0,0,0,0,0,0,12
Christian Watson,WR,GB,0,0,0,13,0,57,941,6,0,0,0,0,0,0,12
Parker Washington,WR,JAX,0,0,0,53,0,65,824,6,0,0,0,0,0,0,11
Davante Adams,WR,LAR,0,0,0,0,0,61,772,8,0,0,0,0,0,0,11
Alec Pierce,WR,IND,0,0,0,7,0,57,918,6,0,0,0,0,0,0,11
Rome Odunze,WR,CHI,0,0,0,6,0,62,891,6,0,0,0,0,0,0,11
Jaylen Waddle,WR,DEN,0,0,0,15,0,65,850,6,0,0,0,0,0,0,11
Carnell Tate,WR,TEN,0,0,0,11,0,71,882,5,0,0,0,0,0,0,10
Brian Thomas Jr.,WR,JAX,0,0,0,16,0,59,858,6,0,0,0,0,0,0,10
DK Metcalf,WR,PIT,0,0,0,10,0,62,843,6,0,0,0,0,0,0,10
DJ Moore,WR,BUF,0,0,0,29,0,63,851,5,0,0,0,0,0,0,10
Marvin Harrison Jr.,WR,ARI,0,0,0,0,0,60,857,5,0,0,0,0,0,0,9
Jordyn Tyson,WR,NO,0,0,0,10,0,66,816,5,0,0,0,0,0,0,9
Michael Wilson,WR,ARI,0,0,0,6,0,61,788,5,0,0,0,0,0,0,9
Ricky Pearsall,WR,SF,0,0,0,18,0,57,794,5,0,0,0,0,0,0,9
Chris Godwin Jr.,WR,TB,0,0,0,6,0,68,750,5,0,0,0,0,0,0,8
Courtland Sutton,WR,DEN,0,0,0,0,0,56,755,6,0,0,0,0,0,0,8
Romeo Doubs,WR,NE,0,0,0,0,0,57,742,6,0,0,0,0,0,0,
Makai Lemon,WR,PHI,0,0,0,10,0,60,775,5,0,0,0,0,0,0,
Jakobi Meyers,WR,JAX,0,0,0,21,0,64,732,5,0,0,0,0,0,0,
Jayden Reed,WR,GB,0,0,0,68,0,58,730,5,0,0,0,0,0,0,
Jayden Higgins,WR,HOU,0,0,0,6,0,57,761,5,0,0,0,0,0,0,
Quentin Johnston,WR,LAC,0,0,0,11,0,58,748,5,0,0,0,0,0,0,
Stefon Diggs,WR,,0,0,0,6,0,63,725,5,0,0,0,0,0,0,
Jordan Addison,WR,MIN,0,0,0,21,0,55,745,5,0,0,0,0,0,0,
Xavier Worthy,WR,KC,0,0,0,90,1,55,695,4,0,0,0,0,0,0,
